report_id,country_code,rate,year
729,STP,73.14115143,1981
730,STP,85.24964142,1991
731,STP,92.23467255,2001
732,STP,80.33023834,2008
733,STP,94.95616913,2012
734,STP,96.16268158,2018
735,SAU,79.96852875,1992
736,SAU,87.06076813,2000
737,SAU,87.53204346,2004
738,SAU,96.53143311,2013
739,SAU,97.10370636,2017
740,SAU,98.62293243,2020
741,SEN,36.90288162,1988
742,SEN,51.05152893,2002
743,SEN,52.25848007,2006
744,SEN,59.78427124,2009
745,SEN,66.03601074,2011
746,SEN,53.9004097,2013
747,SEN,64.81227875,2017
748,SRB,98.90718079,2003
749,SRB,99.26464081,2011
750,SRB,99.49970245,2016
751,SRB,99.87580872,2019
752,SYC,82.93166351,1987
753,SYC,87.01515961,1994
754,SYC,91.40731812,2002
755,SYC,93.46392059,2010
756,SYC,95.41175842,2018
757,SLE,46.65428925,2004
758,SLE,41.33216858,2013
759,SLE,51.6468811,2018
760,SGP,91.56623077,1980
761,SGP,95.09316254,1990
762,SGP,96.56510162,2000
763,SGP,98.03713989,2010
764,SGP,98.39283752,2011
765,SGP,98.46945953,2012
766,SGP,98.5425415,2013
767,SGP,98.60901642,2014
768,SGP,98.55957031,2015
769,SGP,98.73446655,2016
770,SGP,98.79692078,2017
771,SGP,98.85089874,2018
772,SGP,98.90351868,2019
773,SVN,99.60208893,1991
774,SVN,99.69000244,2004
775,SVN,99.69000244,2014
776,SLB,83.69999695,1999
777,SLB,83.69999695,2009
778,SOM,7.198440075,1972
779,ZAF,77.52559662,1980
780,ZAF,84.07138062,1996
781,ZAF,90.71759033,2007
782,ZAF,94.12145996,2009
783,ZAF,94.14385223,2010
784,ZAF,94.24508667,2011
785,ZAF,94.96372223,2012
786,ZAF,95.28684998,2014
787,ZAF,95.39653015,2015
788,ZAF,87.67774963,2017
789,ZAF,95.54537201,2019
790,KOR,98.31552124,2008
791,SSD,34.83692932,2008
792,SSD,40.26480865,2018
793,ESP,95.8975296,1981
794,ESP,98.03549194,1991
