report_id,country_code,rate,gender
951,ZMB,76.25402069,male
952,ZMB,80.91285706,male
953,ZMB,71.31761932,male
954,ZMB,88.68402863,male
955,ZMB,90.60118103,male
956,ZWE,84.17462921,male
957,ZWE,88.89337921,male
958,ZWE,87.76480865,male
959,ZWE,89.1853714,male
960,AFG,4.987460136413574,female
961,AFG,17.017839431762695,female
962,AFG,22.600780487060547,female
963,ALB,98.25227355957031,female
964,ALB,94.68180847167969,female
965,ALB,95.69148254394531,female
966,ALB,96.13607025146484,female
967,ALB,97.76112365722656,female
968,DZA,35.83992004394531,female
969,DZA,60.07508087158203,female
970,DZA,63.91878890991211,female
971,DZA,67.54875183105469,female
972,DZA,75.32296752929688,female
973,ASM,97.21990966796875,female
974,AGO,54.194488525390625,female
975,AGO,53.40721130371094,female
976,ATG,99.41999816894531,female
977,ATG,99.41999816894531,female
978,ATG,99.41999816894531,female
979,ARG,93.58088684082031,female
980,ARG,95.91699981689453,female
981,ARG,97.19341278076172,female
982,ARG,98.51077270507812,female
983,ARG,99.00176239013672,female
984,ARG,98.92807006835938,female
985,ARG,98.99983978271484,female
986,ARG,99.0999526977539,female
987,ARG,99.0912094116211,female
988,ARG,98.93282318115234,female
989,ARG,99.20877075195312,female
990,ARG,99.14309692382812,female
991,ARG,99.06204223632812,female
992,ARM,98.15013885498047,female
993,ARM,99.16107177734375,female
994,ARM,99.69035339355469,female
995,ARM,99.67716217041016,female
